French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji
avoir beau + inf,как ни...; сколько ни...,expr,"J'<b>ai beau</b> chercher, je ne trouve pas mes clés.","<b>Сколько ни</b> ищу, не могу найти ключи.","Concession. Очень частотное! TEF B2.",🔄
avoir besoin de,нуждаться в; иметь нужду,expr,"J'<b>ai besoin de</b> ton aide pour ce projet.","Мне <b>нужна</b> твоя помощь для этого проекта.","+ nom ou infinitif. Базовое выражение.",🆘
avoir envie de,хотеть; иметь желание,expr,"J'<b>ai envie de</b> partir en vacances.","Я <b>хочу</b> поехать в отпуск.","+ infinitif. Synonyme: vouloir.",💭
avoir l'air de,выглядеть; казаться,expr,"Tu <b>as l'air</b> fatigué aujourd'hui.","Ты <b>выглядишь</b> уставшим сегодня.","+ adjectif ou infinitif. Synonyme: sembler.",👀
avoir l'habitude de,иметь привычку; привыкнуть,expr,"J'<b>ai l'habitude de</b> me lever tôt.","Я <b>привык</b> рано вставать.","+ infinitif.",🔁
avoir l'intention de,намереваться; собираться,expr,"J'<b>ai l'intention de</b> déménager au Québec.","Я <b>намереваюсь</b> переехать в Квебек.","+ infinitif. Formel.",🎯
avoir l'occasion de,иметь возможность,expr,"J'<b>ai eu l'occasion de</b> visiter Montréal.","У меня <b>была возможность</b> посетить Монреаль.","+ infinitif.",🎰
avoir le droit de,иметь право,expr,"Vous <b>avez le droit de</b> refuser.","Вы <b>имеете право</b> отказаться.","+ infinitif. Juridique/formel.",⚖️
avoir le temps de,иметь время,expr,"Je n'<b>ai pas le temps de</b> finir ce rapport.","У меня <b>нет времени</b> закончить этот отчёт.","+ infinitif.",⏰
avoir lieu,происходить; состояться,expr,"La réunion <b>aura lieu</b> demain à 10h.","Собрание <b>состоится</b> завтра в 10:00.","Impersonnel/événementiel. Très fréquent!",📅
avoir peur de,бояться,expr,"J'<b>ai peur de</b> rater mon examen.","Я <b>боюсь</b> провалить экзамен.","+ nom ou infinitif.",😨
avoir raison,быть правым,expr,"Tu <b>as raison</b>, c'est une bonne idée.","Ты <b>прав</b>, это хорошая идея.","Opposé: avoir tort.",✅
avoir tort,быть неправым; ошибаться,expr,"J'<b>ai eu tort</b> de lui faire confiance.","Я <b>ошибся</b>, доверившись ему.","Opposé: avoir raison.",❌
avoir hâte de,не терпеться; с нетерпением ждать,expr,"J'<b>ai hâte de</b> te revoir !","<b>Не терпится</b> тебя увидеть!","+ infinitif. Québec: très courant.",⏳😊
avoir tendance à,иметь склонность; склоняться к,expr,"Il <b>a tendance à</b> exagérer.","Он <b>склонен</b> преувеличивать.","+ infinitif.",📈
avoir du mal à,с трудом; испытывать трудности,expr,"J'<b>ai du mal à</b> comprendre son accent.","Мне <b>трудно</b> понять его акцент.","+ infinitif. Synonyme: avoir des difficultés à.",😓
être en train de,быть в процессе; сейчас делать,expr,"Je <b>suis en train de</b> travailler.","Я <b>сейчас</b> работаю.","Présent progressif. Очень частотное!",⏳
être sur le point de,вот-вот; собираться,expr,"Le film <b>est sur le point de</b> commencer.","Фильм <b>вот-вот</b> начнётся.","Futur immédiat.",⏱️
être censé + inf,должен; предполагается что,expr,"Tu <b>es censé</b> arriver à 8h.","Ты <b>должен</b> прийти в 8:00.","Obligation/attente. TEF B2.",📋
être obligé de,быть обязанным; вынужден,expr,"Je <b>suis obligé de</b> partir plus tôt.","Я <b>вынужден</b> уйти раньше.","+ infinitif. Obligation forte.",⚠️
être capable de,быть способным,expr,"Elle <b>est capable de</b> résoudre ce problème.","Она <b>способна</b> решить эту проблему.","+ infinitif. Synonyme: pouvoir.",💪
être prêt à,быть готовым к,expr,"Je <b>suis prêt à</b> commencer.","Я <b>готов</b> начать.","+ infinitif.",✅
être en mesure de,быть в состоянии,expr,"Nous ne <b>sommes pas en mesure de</b> vous répondre.","Мы <b>не в состоянии</b> вам ответить.","+ infinitif. Formel.",📊
être susceptible de,может; возможно,expr,"Ce produit <b>est susceptible de</b> causer des allergies.","Этот продукт <b>может</b> вызвать аллергию.","+ infinitif. Formel. Возможность/риск.",⚠️
être amené à,приходится; вынужден,expr,"Dans ce travail, on <b>est amené à</b> voyager souvent.","На этой работе <b>приходится</b> часто ездить.","+ infinitif. Formel.",🔄
être tenu de,быть обязанным,expr,"Les employés <b>sont tenus de</b> respecter le règlement.","Сотрудники <b>обязаны</b> соблюдать правила.","+ infinitif. Juridique/formel.",⚖️
faire semblant de,притворяться; делать вид,expr,"Il <b>fait semblant de</b> dormir.","Он <b>притворяется</b>, что спит.","+ infinitif.",🎭
faire partie de,быть частью; входить в состав,expr,"Je <b>fais partie de</b> l'équipe de marketing.","Я <b>вхожу в</b> команду маркетинга.","+ nom.",🧩
faire attention à,обращать внимание; быть осторожным,expr,"<b>Fais attention à</b> la marche !","<b>Осторожно</b>, ступенька!","+ nom ou infinitif.",⚠️👀
faire face à,противостоять; столкнуться с,expr,"Nous devons <b>faire face à</b> cette crise.","Мы должны <b>противостоять</b> этому кризису.","+ nom. TEF B2.",💪
faire preuve de,проявлять; демонстрировать,expr,"Il a <b>fait preuve de</b> courage.","Он <b>проявил</b> смелость.","+ nom (qualité). Formel. TEF B2.",🏆
faire appel à,обращаться к; прибегать к,expr,"Nous avons <b>fait appel à</b> un expert.","Мы <b>обратились к</b> эксперту.","+ nom.",📞
faire confiance à,доверять,expr,"Je <b>fais confiance à</b> ton jugement.","Я <b>доверяю</b> твоему суждению.","+ nom (personne).",🤝
se rendre compte de,осознать; понять,expr,"Je me <b>suis rendu compte de</b> mon erreur.","Я <b>осознал</b> свою ошибку.","+ nom ou que + phrase. Très fréquent!",💡
il s'agit de,речь идёт о; дело в,expr,"<b>Il s'agit d'</b>un problème sérieux.","<b>Речь идёт о</b> серьёзной проблеме.","Impersonnel. Très fréquent! TEF.",📌
il paraît que,говорят что; кажется,expr,"<b>Il paraît que</b> le directeur va démissionner.","<b>Говорят, что</b> директор уволится.","Impersonnel. Rumeur/information non confirmée.",💬
il semble que,кажется что,expr,"<b>Il semble que</b> tu aies raison.","<b>Кажется, что</b> ты прав.","Impersonnel. + subjonctif (souvent).",🤔
il vaut mieux,лучше,expr,"<b>Il vaut mieux</b> partir maintenant.","<b>Лучше</b> уехать сейчас.","Impersonnel. + infinitif ou que + subjonctif.",👍
il suffit de,достаточно,expr,"<b>Il suffit de</b> cliquer sur ce bouton.","<b>Достаточно</b> нажать на эту кнопку.","Impersonnel. + infinitif.",✅
il convient de,следует; подобает,expr,"<b>Il convient de</b> remercier nos partenaires.","<b>Следует</b> поблагодарить наших партнёров.","Impersonnel. Formel. + infinitif.",📋
il arrive que,случается что; бывает,expr,"<b>Il arrive que</b> je sois en retard.","<b>Бывает</b>, что я опаздываю.","Impersonnel. + subjonctif.",🎲
il se peut que,возможно что,expr,"<b>Il se peut que</b> je parte demain.","<b>Возможно</b>, я уеду завтра.","Impersonnel. + subjonctif. Synonyme: peut-être que.",🤷
il est question de,речь идёт о,expr,"<b>Il est question de</b> construire un nouveau stade.","<b>Речь идёт о</b> строительстве нового стадиона.","Impersonnel. Synonyme: il s'agit de.",📰
il va sans dire que,само собой разумеется,expr,"<b>Il va sans dire que</b> ta présence est souhaitée.","<b>Само собой разумеется</b>, что твоё присутствие желательно.","Impersonnel. Formel.",💯
il est temps de,пора,expr,"<b>Il est temps de</b> partir.","<b>Пора</b> уходить.","Impersonnel. + infinitif.",⏰
il reste à,осталось,expr,"<b>Il reste à</b> résoudre quelques problèmes.","<b>Осталось</b> решить несколько проблем.","Impersonnel. + infinitif.",📝
finir par,в конце концов; в итоге,expr,"Il a <b>fini par</b> accepter notre offre.","Он <b>в итоге</b> принял наше предложение.","+ infinitif. Résultat après effort/temps.",🏁
venir de + inf,только что,expr,"Je <b>viens de</b> terminer mon travail.","Я <b>только что</b> закончил работу.","Passé récent. Очень частотное!",⏱️
aller + inf,собираться; скоро,expr,"Je <b>vais</b> partir dans cinq minutes.","Я <b>собираюсь</b> уйти через пять минут.","Futur proche. Базовое!",➡️
devoir + inf,должен; обязан,expr,"Tu <b>dois</b> respecter les règles.","Ты <b>должен</b> соблюдать правила.","Obligation ou probabilité.",⚠️
pouvoir + inf,мочь; иметь возможность,expr,"Je <b>peux</b> t'aider si tu veux.","Я <b>могу</b> тебе помочь, если хочешь.","Capacité ou permission.",✅
savoir + inf,уметь,expr,"Elle <b>sait</b> jouer du piano.","Она <b>умеет</b> играть на пианино.","⚠️ Savoir = compétence acquise. Pouvoir = capacité physique.",🎹
